mil,5 mil,10 mil,50 mil,100 mil,Sort
0.03047347068786621,0.8198683261871338,3.0574896335601807,82.53213453292847,424.26905632019043,Merge Sort
0.0,0.0,0.0009970664978027344,0.007942914962768555,0.021949291229248047,Merge Sort
0.0,0.0010135173797607422,0.0009975433349609375,0.009015321731567383,0.02355813980102539,Merge Sort
0.0,0.0010142326354980469,0.0019943714141845703,0.007504701614379883,0.021941423416137695,Merge Sort
0.0,0.0009405612945556641,0.0009975433349609375,0.009005546569824219,0.020907878875732422,Merge Sort
0.0,0.0010342597961425781,0.001994609832763672,0.007974863052368164,0.022973060607910156,Merge Sort
0.0,0.0009975433349609375,0.000997304916381836,0.007979393005371094,0.023455142974853516,Merge Sort
0.0,0.0009593963623046875,0.0009975433349609375,0.007946014404296875,0.020943880081176758,Merge Sort
0.0010204315185546875,0.0,0.001994609832763672,0.010006189346313477,0.022938966751098633,Merge Sort
0.0,0.0010221004486083984,0.0009980201721191406,0.00797891616821289,0.02094411849975586,Merge Sort
0.0,0.0010061264038085938,0.001993894577026367,0.008978605270385742,0.021942853927612305,Merge Sort
0.0,0.000997781753540039,0.0019948482513427734,0.006944417953491211,0.02245044708251953,Merge Sort
0.0,0.0,0.0009970664978027344,0.009012937545776367,0.022938013076782227,Merge Sort
0.0,0.0009982585906982422,0.000997304916381836,0.006943941116333008,0.020942211151123047,Merge Sort
0.0,0.0009961128234863281,0.0019948482513427734,0.010010480880737305,0.022975683212280273,Merge Sort
0.0010097026824951172,0.0,0.0009970664978027344,0.00751185417175293,0.02198004722595215,Merge Sort
0.0,0.0009965896606445312,0.0019948482513427734,0.009011268615722656,0.02348804473876953,Merge Sort
0.0,0.0009982585906982422,0.000997304916381836,0.006979465484619141,0.022975921630859375,Merge Sort
0.0,0.0,0.000997304916381836,0.006979942321777344,0.020943164825439453,Merge Sort
0.0,0.0009987354278564453,0.001994609832763672,0.007979393005371094,0.02194523811340332,Merge Sort
